REPRESENTANTE_RESTAURANTE,NOMBRE_PRODUCTO,CANTIDAD_MAXIMA,CANTIDAD_ACTUAL
TvMC8Pjhnq,a4V5KTEgWA,948685937,855862348
TvMC8Pjhnq,q5Btr7noHt,1757223565,1686560832
TvMC8Pjhnq,GEiZVlNCGc,413668391,2652038
TvMC8Pjhnq,KJ3rcwU3uE,1198899467,433699492
TvMC8Pjhnq,zvtrHf4v8J,1973670301,947357988
TvMC8Pjhnq,goSr3MQA9n,1839125656,221242396
TvMC8Pjhnq,_47GhZ9zwE,662506312,264706671
OF9LLc9EJq,eoCWVpW0Xb,616497770,197563896
OF9LLc9EJq,ysbw7gWbIx,1283227951,563907726
OF9LLc9EJq,bQJt5GBMq_,1973321426,1209799710
OF9LLc9EJq,OtQKolJDGp,1827361948,812457726
OF9LLc9EJq,dM5ZBwXkr0,1715390857,1196455428
OF9LLc9EJq,JgzKxR1k4N,1930028751,895867110
OF9LLc9EJq,3yAkKXvAcQ,2072275920,627367565
OF9LLc9EJq,UoyIe6xbRz,2060139964,271890953
OF9LLc9EJq,orvgoycEpX,1769242055,1412159458
OF9LLc9EJq,VFiDeQ7BUQ,1381940862,838415416
OF9LLc9EJq,xqFC3D7mhf,1932567197,1580012066
OF9LLc9EJq,X1iNTI9Jud,1798131346,769841677
OF9LLc9EJq,OwOe7NawNd,1279421022,483783607
OF9LLc9EJq,Q2oDxaJnkZ,1298253574,1073585654
OF9LLc9EJq,PwVnrMRG4s,142720079,126652773
OF9LLc9EJq,AWPqy6aETR,2075978951,1037122389
OF9LLc9EJq,18fp5bNitF,217864173,59485187
OF9LLc9EJq,1TUCFKnosA,1129872156,378304149
OF9LLc9EJq,BYaVo29ygy,1515127537,1048509932
OF9LLc9EJq,N12SSTP9cO,1492039947,901613738
rT4B46zL74,93y2uIsG3O,2058884293,1299860134
rT4B46zL74,LKt7Cy4SIb,1506155190,1272236772
rT4B46zL74,ewg1t5Xng7,1971538479,305120821
rT4B46zL74,MsmOGuZhgI,2000943721,160920887
rT4B46zL74,e7O5HQi8eq,1149063095,725042120
rT4B46zL74,6udZJ4hPEY,1176342042,747933430
rT4B46zL74,6QcOUAPVg5,1155428768,145506199
rT4B46zL74,rXM33YpzyM,312821522,292779454
rT4B46zL74,rZdZNwspNq,2083406507,632868447
rT4B46zL74,Qyy6ddjxBR,1518960868,465943866
rT4B46zL74,bw0DVgd1H_,1839192108,860552130
rT4B46zL74,FfvHLfk9HN,1647046795,258437628
rT4B46zL74,3BUfReLx_x,1351119340,937035735
rT4B46zL74,G2L9zKB2ty,1018168450,419538275
rT4B46zL74,uus4uGRL1k,373116962,64828089
rT4B46zL74,3v_zttv9ZJ,946535655,772511639
rT4B46zL74,q6P6DVtQxV,1779675856,835435521
rT4B46zL74,nRdViiCMJr,1571953090,234653731
rT4B46zL74,dSUc4kMbtc,828430790,639427596
rT4B46zL74,OOcZM_HxEq,1859820265,1112258482
NKhbIe2LvW,_1AmHV8NFo,1042155476,161773931
NKhbIe2LvW,CBzsPlVYdq,1648362583,1408647419
NKhbIe2LvW,Ti8t7XHOHH,792225915,637874480
NKhbIe2LvW,I9XSkcWlLR,1592799199,1257140782
NKhbIe2LvW,gnET6nSMe2,1928276694,326052801
NKhbIe2LvW,8tznJt5WUu,1329637792,676025845
NKhbIe2LvW,10K1R8BhwQ,1914308201,295516412
NKhbIe2LvW,sQzNt0kaQU,1707395685,1449453010
NKhbIe2LvW,FsyQ4z8z1u,1449076760,949945937
NKhbIe2LvW,EP3vEabB82,917738638,37532983
NKhbIe2LvW,FmjndvP1Ne,1277828415,1121023271
NKhbIe2LvW,cYBkBCngb3,1502695457,617236511
NKhbIe2LvW,W5uzUnv4GJ,1852413435,1620061723
NKhbIe2LvW,1ShL7rwHCj,2014274136,1250031340
NKhbIe2LvW,o3nKjgOYxu,1656394378,1623119025
NKhbIe2LvW,KEJ1ZFwhs9,1855067413,1294854441
NKhbIe2LvW,8FyUSzvCzr,107995867,21187451
NKhbIe2LvW,40lH91fxmP,1672767284,304914344
NKhbIe2LvW,ySzh8Z7B1w,877148647,482837801
NKhbIe2LvW,9_C7ax0fWr,465920392,338706993
WjjTE8ioA9,KUqIKnrFxz,1833349091,82238192
WjjTE8ioA9,LhEGzw_J9C,1334866097,419843281
WjjTE8ioA9,V1C2HvfknS,1347856477,513170329
WjjTE8ioA9,EDaKXottfM,1861791508,8498537
WjjTE8ioA9,bs5cvJCfAb,2126714760,1261367141
WjjTE8ioA9,Pzqk7AltQ2,1609112766,852431646
WjjTE8ioA9,S1ECOH1tdy,1478723553,87874960
WjjTE8ioA9,vt1hdCcvje,1792958038,421312244
WjjTE8ioA9,QeJuVtmj77,1887228070,666730005
WjjTE8ioA9,V5DBPrzILf,1437071907,569463531
WjjTE8ioA9,krh8ARMeoi,1707876672,1699753231
WjjTE8ioA9,iey9wlWLyx,1687517526,1118615105
WjjTE8ioA9,3iQw5aKvbB,668096355,566847146
WjjTE8ioA9,0gHs1zxS17,2004047819,1368759617
WjjTE8ioA9,UFu__pvSuj,445354141,38886938
WjjTE8ioA9,qy6u0K6i8N,1016998034,1937890
WjjTE8ioA9,roQd7eCtoR,2116623263,744508704
WjjTE8ioA9,V4CY54ldJx,1600463612,319088241
WjjTE8ioA9,2TJeC1oWyF,1549979665,1314839673
WjjTE8ioA9,7z2otrOueH,1893799670,55790307
mw6mqjsU6y,aoY6lIDTXg,1160548494,1121492655
mw6mqjsU6y,wURUZZwpwS,648796197,440296853
mw6mqjsU6y,CgU2CuY3qe,1161498576,894786185
mw6mqjsU6y,QR_DhqBoJS,1553563593,895216894
mw6mqjsU6y,HakxyQQprE,665219117,277204622
mw6mqjsU6y,VEvufHltlP,1289166016,189420425
mw6mqjsU6y,OzkaTbXR6m,1930313629,1710444992
mw6mqjsU6y,g_ZgKSEFgW,2142212869,512335580
mw6mqjsU6y,Kw9rMyEWhT,2101846686,170737494
mw6mqjsU6y,hF2jKojzvj,1340519154,549092994
mw6mqjsU6y,wtnt5Qdj_1,1772435407,1212512421
mw6mqjsU6y,CKtuZB8Rjt,2093857851,811702586
mw6mqjsU6y,_9WlJWI1U0,1310123120,479870754
mw6mqjsU6y,iHhQzMi7c0,1431188799,963482020
mw6mqjsU6y,E05QLYWn23,899438241,614070469
mw6mqjsU6y,zqKsfZLvFe,1976168631,243129433
mw6mqjsU6y,kVLxjuR0au,974627965,4172655
mw6mqjsU6y,7VuEsm9kiA,2097527067,587607713
mw6mqjsU6y,om6yCqOu8c,654940648,264643184
mw6mqjsU6y,RJVLuqEVzG,1839479781,1539845866
zubP9TwZuy,COvUIvHqJY,1485636886,570283055
zubP9TwZuy,Nw262oBM21,617174149,421847793
zubP9TwZuy,Nv_SeRV4Bh,1712796523,942733309
zubP9TwZuy,IePRNHi1Hh,1818711797,787115458
zubP9TwZuy,WlPzQw7pI4,1638914520,1364474388
zubP9TwZuy,GQqfPA277a,1655324733,403911251
zubP9TwZuy,gtHATGMwsH,1036371219,803350545
zubP9TwZuy,z8UaxEBkth,1985990416,900164140
zubP9TwZuy,7SRBflzuyK,1006102238,948670552
zubP9TwZuy,huzkWxQk9X,2080166266,1351638055
zubP9TwZuy,VoIsAirGbK,1845728645,542201581
zubP9TwZuy,KHQVjPR2St,2001224904,688062271
zubP9TwZuy,cgofm6Cy4J,2064860911,1416749323
zubP9TwZuy,sdmxmDlPTo,1464665126,1045599745
zubP9TwZuy,GJ7ojsOqT8,1685972116,279907868
zubP9TwZuy,OGG6R6ilwj,2066346287,1976455166
zubP9TwZuy,MWVKuMLJzu,1264500408,956688250
zubP9TwZuy,CtcR8X22z4,1625929749,1122942120
zubP9TwZuy,Jm91aJqdCa,1048851294,159147086
zubP9TwZuy,TOHBvDrwVN,365862294,254742887
A5_zjr1NSX,laBbUMmgX3,648214403,591025234
A5_zjr1NSX,3Q31oc3Ay2,1228830180,806928571
A5_zjr1NSX,q5ESCg8sll,1180771890,322473522
A5_zjr1NSX,SGtQAykKqM,1479673843,1346833249
A5_zjr1NSX,zv5iP12os6,1725224456,397151629
A5_zjr1NSX,YeQ_lmkwk8,1173099707,466016226
A5_zjr1NSX,6UtCSSor4M,2097350837,940250754
A5_zjr1NSX,DgPmurlSh5,1468846476,981060901
A5_zjr1NSX,3JYJHiUhAI,1757763418,1572152270
A5_zjr1NSX,tPyC2GYZPH,583702259,100735291
A5_zjr1NSX,IiWBeZ35kp,1461067520,1002767801
A5_zjr1NSX,VXj2ePGvVm,78479995,24426275
A5_zjr1NSX,XAQtqUjhJB,1323559816,295653509
A5_zjr1NSX,ujaV5kc4We,1307320853,695599663
A5_zjr1NSX,KfIAvH5y4t,2045514698,1002466922
A5_zjr1NSX,95aHR6_P8V,1171262872,566918157
A5_zjr1NSX,6El34cfAzI,1532426021,1315502005
A5_zjr1NSX,bBAQKtynRZ,1822080926,489142742
A5_zjr1NSX,SOmOHLOVBU,1804926264,39242145
A5_zjr1NSX,rzj2ko46SK,1487018231,1004853252
O042NGrAig,xNQp0Ry81a,270667750,220826357
O042NGrAig,Ox9XpORNuG,1878811504,751896541
O042NGrAig,_OYNaSHDxr,1794263388,1277472867
O042NGrAig,WPiFn7FlWq,1527407718,173306308
O042NGrAig,RIXMCTO27l,1793318063,439858177
O042NGrAig,0xxQ0WEd9F,1162207000,314432044
O042NGrAig,Nht58i_QPA,1805015773,410485987
O042NGrAig,0SZf9lMfA2,261096688,65048443
O042NGrAig,L97zHOpdyF,1495695905,461104314
O042NGrAig,ARHMWIsUtW,1449116406,603595927
O042NGrAig,Hp9xrKSOYZ,2057354807,1864602055
O042NGrAig,InFIA8GEuU,1929833969,819509478
O042NGrAig,TM3yK5RE_g,1984277090,420621980
O042NGrAig,15RntxOinI,2093030039,1408318145
O042NGrAig,0xQRtJDJIJ,1685849888,339319311
O042NGrAig,Yc4Ug9MR7X,910267598,895283982
O042NGrAig,BJlqeN3zX9,2038810982,440333109
O042NGrAig,eEq85HROIu,1480039645,1181921836
O042NGrAig,_JmzFFgz9d,1758558715,322950521
O042NGrAig,9gwOg_73hi,950623034,626160250
NZElj46dR5,RudOV5pWFF,1427635890,1283390916
NZElj46dR5,9aiQYHZk3l,1426814683,336674958
NZElj46dR5,_fATdr2_CX,2015085451,588056307
NZElj46dR5,WtQQsiTqGB,1263873639,842602259
NZElj46dR5,R5bafkgWKc,1078726456,1007954305
NZElj46dR5,CIc7SM_jor,1436702591,1414487238
NZElj46dR5,fxRvmXT5qN,2040360982,1161320358
NZElj46dR5,8_wTtj5uKv,1832192865,749369326
NZElj46dR5,VFZqJsGFpA,1949638744,1273812710
NZElj46dR5,HAs2m4ZyCQ,1320466600,238779032
NZElj46dR5,OWzclZyWJR,967158019,137862744
NZElj46dR5,Ybj_q8indZ,2099534222,1771563546
NZElj46dR5,ai_L4AskLl,1035142656,736965139
NZElj46dR5,PEWzqxy27T,1803524609,593271450
NZElj46dR5,B9VNvjrxdh,898911776,191822606
NZElj46dR5,x5LhXjjK90,1455471549,975686228
NZElj46dR5,0iyCa8En8i,1930475172,1116619859
NZElj46dR5,G3M0mpfZwc,1454636289,902150919
NZElj46dR5,C5lkpYfWRw,1705922007,861765510
NZElj46dR5,azA9WJ6pNP,2022616122,211394184
f32csZUPwK,wCyGoH3zo1,1818581667,1678711879
f32csZUPwK,KNGt8l8ct0,280347363,230333897
f32csZUPwK,PA3tyrbWra,1392403760,681804445
f32csZUPwK,v60G1vxc5q,1546377693,638585018
f32csZUPwK,UqDR6wrDDj,1622966910,377785510
f32csZUPwK,dQToJSPAOd,1591728808,987309158
f32csZUPwK,x2pKKnNv0M,1179769485,514156507
f32csZUPwK,51GtJ8rn1E,1877275750,1554674768
f32csZUPwK,b80k4mSJ9I,2052689910,1106997906
f32csZUPwK,kZtbUD_D5W,1475119596,1081021836
f32csZUPwK,5A65bDkJWq,610001568,412806415
f32csZUPwK,_cCDlqehoW,1180315676,892141156
f32csZUPwK,ELIXtR_e_s,817629743,337836928
f32csZUPwK,BkHPrUXqGa,1315503162,1264563020
f32csZUPwK,KtEBkcyAnX,1702249173,1407343038
f32csZUPwK,_Xn_6ahtgR,669393150,216349754
f32csZUPwK,IFvwELRZuZ,1849013645,1801964467
f32csZUPwK,aDp2Xrs8li,1795174401,1183541435
f32csZUPwK,65ebShH1gP,1907204695,283414932
f32csZUPwK,PiWKiTCYNt,1810569204,1661127297
3zkapCFdpi,onzohDhW2o,1314273534,55701496
3zkapCFdpi,8Jwkcv8yNZ,1908480091,1894447990
3zkapCFdpi,cj5Q2eWxVD,1687895570,151337035
3zkapCFdpi,CyZ2BGRMY2,1954027357,1022765873
3zkapCFdpi,LdArjBPQHI,1119633415,682962456
3zkapCFdpi,9teMGXwrDI,908718808,271459297
3zkapCFdpi,B4BJC_megm,789470631,105556829
3zkapCFdpi,tCXAU1qi3P,682536802,221915313
3zkapCFdpi,LPqGIOhPqO,1599922616,283680261
3zkapCFdpi,wWKZoZm4cK,664413235,245953264
3zkapCFdpi,UDA8BbzOpd,1743474521,1061183280
3zkapCFdpi,cLAO2laG4f,801102625,348748429
3zkapCFdpi,SgjQnJP04m,1196383810,718716513
3zkapCFdpi,j9qQuQitf1,1959901904,314140312
3zkapCFdpi,8HYux2AZKL,218915530,68486265
3zkapCFdpi,aBPQH9GIAC,1207477322,732344139
3zkapCFdpi,0Qf4thYEyn,2106955209,108597113
3zkapCFdpi,_Xt583u66y,1243527912,1027001479
3zkapCFdpi,s5tyTysa1r,717421501,606768840
3zkapCFdpi,jcyGkjxjBd,1095843891,993984039
Ss0iSmw5ID,G1Q28TOUKb,2037463719,1367388087
Ss0iSmw5ID,8w7ueWelig,2065554020,246272401
Ss0iSmw5ID,c_FNzZRHFd,1302732681,969408407
Ss0iSmw5ID,3lbwrmcj1E,1874401900,390040900
Ss0iSmw5ID,8ce4MZg8XU,1621943390,82465110
Ss0iSmw5ID,GNI7SeBflR,2097148838,1843750148
Ss0iSmw5ID,H_X9ulm29U,2103870675,1196990765
Ss0iSmw5ID,hMpJnhYmdz,706116972,232008559
Ss0iSmw5ID,4oW_eLJ3bz,2093415357,913457386
Ss0iSmw5ID,wuGIKalYYE,1739481004,1257522169
Ss0iSmw5ID,jDEpOlreyy,2043182647,1356887334
Ss0iSmw5ID,mHPO_rzoVy,1208865380,272234074
Ss0iSmw5ID,LlcyQ2En2n,1322601199,545439285
Ss0iSmw5ID,IMLq8cU3VI,946658083,449324242
Ss0iSmw5ID,b3vK1uRNJr,2069565130,2008679168
Ss0iSmw5ID,Awh9roVcAy,1218072114,370999513
Ss0iSmw5ID,6ZOPurkHaK,1405419745,676709967
Ss0iSmw5ID,FzDCqe1pLr,1393921872,879295305
Ss0iSmw5ID,RaXHsFfdMl,782240042,335235045
Ss0iSmw5ID,PFRVOMUYBL,1951487033,538195955
j57E2WIjwv,mmUF2UBIoS,1573569686,770081049
j57E2WIjwv,E9YXWOO_wj,1971280500,1292510012
j57E2WIjwv,jqNrqjf6hk,2144176167,1573687653
j57E2WIjwv,3TXKeqiRuM,1972255056,1743787976
j57E2WIjwv,IE3PNbS2tR,1573993069,905312795
j57E2WIjwv,mWor7ky7A9,1886410661,1070955443
j57E2WIjwv,b055MjAu7x,1701631966,1537107469
j57E2WIjwv,CbX0ZlRwno,2036490598,956703401
j57E2WIjwv,dTBfvhXrGn,819139972,505126997
j57E2WIjwv,IynCFK5qiy,2116860115,1094855315
j57E2WIjwv,3FoFo48zvl,2035864597,295782472
j57E2WIjwv,jPvGehESAy,1717525004,813831966
j57E2WIjwv,ODkMf9QgLl,1685372095,1410743962
j57E2WIjwv,NeM89zAhgv,1513055976,1354182537
j57E2WIjwv,3lh9qoBoeB,1212102715,494757837
j57E2WIjwv,xG7Xt1jxDO,2006273414,132327954
j57E2WIjwv,s6uiGoePeD,1708280362,208455859
j57E2WIjwv,uphPwhn_zL,1454374599,168935730
j57E2WIjwv,Lh4y_7WUp2,1256222711,523378434
j57E2WIjwv,c_3irf3S3l,2065418853,879215973
YQBfYxG5Qt,O7On09ANo7,1445107913,1234688465
YQBfYxG5Qt,x392oLqt7Q,1815428034,215577797
YQBfYxG5Qt,zFe66xqBZR,445960289,394168436
YQBfYxG5Qt,Xu3Vs_RQoX,1900860637,1488955120
YQBfYxG5Qt,mVtcrinPd_,1180286721,69495208
YQBfYxG5Qt,aiq3wM4eNM,987658061,206436593
YQBfYxG5Qt,qRPSMsnNVh,1910367633,1815968904
YQBfYxG5Qt,OMxvQh_fSs,2049285266,1030320584
YQBfYxG5Qt,D_raUhFnqd,1823670516,425231401
YQBfYxG5Qt,X0poLwxYPO,2090553770,163153002
YQBfYxG5Qt,di9JcQQKD9,786690852,88312870
YQBfYxG5Qt,GWIIyZSmnA,879548514,89687062
YQBfYxG5Qt,9bNcUNVmVF,1299734132,228066897
YQBfYxG5Qt,hRrdDwVRoF,1420550605,694634000
YQBfYxG5Qt,JK5neNOr_F,920303495,104693429
YQBfYxG5Qt,YGvReByaNz,2048121512,1821787334
YQBfYxG5Qt,sqTnfn9D94,1889508400,217307038
YQBfYxG5Qt,NMh0WBPdDu,1651425776,434302165
YQBfYxG5Qt,w5qes1elAz,1022677730,243900105
YQBfYxG5Qt,o6fOAqQ21V,2104907555,324868629
9SDU_j3exQ,zMgGpZXMeh,1289357572,1009159667
9SDU_j3exQ,_OCu7npPuG,1931516958,630470335
9SDU_j3exQ,wcyTHeY7N9,1445210161,1299340908
9SDU_j3exQ,r_dty4bdJz,1675570455,166720706
9SDU_j3exQ,zMnzLbsBdR,1259497976,1117309659
9SDU_j3exQ,EwPZCLT7z8,1828544369,683274165
9SDU_j3exQ,sim0FIfXsG,269161235,78966263
9SDU_j3exQ,nRnEN0LZ1u,1435537017,326225080
9SDU_j3exQ,qalAyguzSR,1743797822,1543435242
9SDU_j3exQ,xcCGkUx8bR,940231647,669760134
9SDU_j3exQ,_UmphpCQ6z,1407433763,1371253645
9SDU_j3exQ,_edtm0SnXs,1161345288,779627836
9SDU_j3exQ,N_jLjxOLih,425100942,98274087
9SDU_j3exQ,IIgrGBimVb,985450998,950874263
9SDU_j3exQ,YX9VQrC0MC,781524314,55218991
9SDU_j3exQ,0VsMWZoQ4n,1337797972,1117591118
9SDU_j3exQ,EJgSWSGs9D,808296928,313729508
9SDU_j3exQ,_x2hBnRPEQ,1648041501,92218132
9SDU_j3exQ,9sKluxJflR,1921217185,686446784
9SDU_j3exQ,DJQzXZqthO,1467647988,390589234
CIEq9fkOsp,6sk9skebS3,924502296,917549704
CIEq9fkOsp,4uqLyHhKfi,367715786,51852457
CIEq9fkOsp,uS5lNW_3wd,685190795,215681147
CIEq9fkOsp,a2bzX3jksh,1822689347,1267783883
CIEq9fkOsp,J23r5mxqp1,2035416837,433138121
CIEq9fkOsp,yIjolCUGlT,889463584,38927130
CIEq9fkOsp,Sv1ecNIZUq,2126111800,355265854
CIEq9fkOsp,GABaggCMg7,1849445641,670172432
CIEq9fkOsp,OOQNmMw2gp,1931023023,917282231
CIEq9fkOsp,GV4zlDimRH,1946664514,1450504520
CIEq9fkOsp,l7npEAT4lZ,1781209759,1398466542
CIEq9fkOsp,nsCFGC0BEo,1375337936,1165604732
CIEq9fkOsp,kh7pzKFjJ2,1916619620,518974754
CIEq9fkOsp,Hsh21RnlJr,1842470377,191774329
CIEq9fkOsp,o5U8fsA3ra,1722087564,1138423879
CIEq9fkOsp,Kq3D5HMXpO,2011325440,337240474
CIEq9fkOsp,p1_JQioMRY,1587896783,1158133131
CIEq9fkOsp,2VpDWtGgGm,2034844185,1846217992
CIEq9fkOsp,LYcFP_xlnt,1132334009,774409856
CIEq9fkOsp,OXcYw8IROh,1609650365,1326668096
KTI0FSEfO2,IFb2CfsID_,1380884550,587741190
KTI0FSEfO2,HyZfU6ZpcR,1879662931,838886166
KTI0FSEfO2,jxiBYvJ6UO,1732610049,751035612
KTI0FSEfO2,d6QswWS6R3,1463417967,99083586
KTI0FSEfO2,keXdxuwklq,599631483,362908788
KTI0FSEfO2,yzg61UqHH7,894285655,432407104
KTI0FSEfO2,9eZw3aEnrR,902459156,10394391
KTI0FSEfO2,D9KjNyTV7Q,1925446241,829185335
KTI0FSEfO2,f2WbaiJZ02,1133798809,1063767159
KTI0FSEfO2,KlU1QGmjhQ,1879772489,563354677
KTI0FSEfO2,n52S8WGJZ5,1050862795,612952378
KTI0FSEfO2,ZQG32occX1,1254390547,338703472
KTI0FSEfO2,XTdZin8LVj,1794250756,652699120
KTI0FSEfO2,51mmdexu6F,1144263603,28042672
KTI0FSEfO2,Rp3lg4N7Ti,1163507603,941300695
KTI0FSEfO2,L36VIQ3D1c,1326128428,1067625454
KTI0FSEfO2,qB7A08uJMt,2019470391,602839197
KTI0FSEfO2,L_DFlaqZRu,1699316792,45950341
KTI0FSEfO2,kBBSDKEOmR,1566997217,257395971
KTI0FSEfO2,DTjd_nxfL0,1063046123,291357490
5gAklzDd59,Tvil9stoUk,1529341408,1458184663
5gAklzDd59,GC_9tWpwyR,1824445114,259598557
5gAklzDd59,ag9EmVHh2m,1886448182,832373891
5gAklzDd59,Pqu3Mgu4j7,882365576,211623197
5gAklzDd59,zqsuvQNlJY,1328363984,1180752483
5gAklzDd59,IThbbnzRKq,1534043291,499827170
5gAklzDd59,3JfkgFGs_D,1168774398,519103342
5gAklzDd59,JdB93qTcVh,984350515,866441910
5gAklzDd59,oTBQFlTggM,789077925,473217900
5gAklzDd59,6CxF44f4G4,2071158511,1393388778
5gAklzDd59,yHS3du6SML,1227655174,354053409
5gAklzDd59,akJeo17M9d,1954778739,1596206450
5gAklzDd59,iLv69_YAZZ,1822976645,1227356732
5gAklzDd59,0fuUY_JJO1,1892537956,404924774
5gAklzDd59,H70On_BSG8,1615571476,1496052534
5gAklzDd59,7EkKNc0UkV,1503522759,1115118848
5gAklzDd59,g_PvDhsZ7P,1657198466,183650133
