NOMBRE,DESCRIPCION,TRADUCCION,COSTO_PRODUCCION,PRECIO_VENTA,TIEMPO_PREPARACION,TIPO
OwOe7NawNd,yE5tEY5bv8,dmkFQ7huAp,1245401821,1560916977,417966829,27936047033859
Q2oDxaJnkZ,hbWk5hT4DA,7nr7Vet3i1,1924387782,533079714,885278141,27936053979819
PwVnrMRG4s,FEst945mwO,uIDN9kprmJ,1422818725,717980964,68007647,27936054914502
AWPqy6aETR,8RHyHToN_m,ZczLLy_ABJ,26687634,991393702,126428691,27936055770036
18fp5bNitF,iN5FtsaT3P,8j5RpnLnH6,1119480919,1699194364,496614277,27936056748777
1TUCFKnosA,1Cuq4uk_bI,x_1QcBkJ_V,444760345,362395675,37920580,27936057643245
BYaVo29ygy,mDcWVOlVav,RuniEiUxkf,1138548401,267081247,1327954249,27936058483154
N12SSTP9cO,BiWLofis5I,IMgFGTzMm5,844426544,1874470854,2072637843,27936059296679
93y2uIsG3O,4Q7xl1WyTy,H82Uc2XP8N,2118390439,768607364,1270091820,27936077516472
LKt7Cy4SIb,AfmfYnkbbw,c6eBZHEHXU,1073426939,1428290851,1831353592,27936077952692
ewg1t5Xng7,6i0JwcT82F,8lto0Om7uH,1798077172,1598130936,801117700,27936078372518
MsmOGuZhgI,qoqgTHt8qE,BFissGkJvF,849646953,1314854326,1766163334,27936078789527
e7O5HQi8eq,WO9INEVEIl,Edv0DuK9Wx,1020275089,1061881204,1612869022,27936079216781
6udZJ4hPEY,EIuUl4WvOL,8CgbLdKPUj,599514946,1769325138,956399032,27936079662735
6QcOUAPVg5,KFKBFWJfOM,U1g6IraFbZ,2111574833,907642536,1465336160,27936080374313
rXM33YpzyM,WMLMwkB6hV,wrXDXwGDf7,1133682646,1790255570,1222952435,27936081228822
rZdZNwspNq,31gKkwFWdA,QVBsi4zk1j,1824428650,726240312,1600553824,27936082011866
Qyy6ddjxBR,U7vUPEKzBh,mVkyvX7csW,614041145,1834216007,974971370,27936082702441
bw0DVgd1H_,ooAbHBXYdl,MGv4yeernD,2087887706,755180568,1390954858,27936083121755
FfvHLfk9HN,uKw5zZLgP4,5ppZpR7sdT,322507142,187048315,2118722061,27936083650700
3BUfReLx_x,dDex79SPYw,zno9YHZT3Y,360446236,1294715509,1801442231,27936084064123
G2L9zKB2ty,F5w8U7l9_M,TNQb6vlDw1,1030390204,1562576672,602719810,27936084461664
uus4uGRL1k,0K7RwJvWHK,WV7EF1OPXV,1389613995,1236975502,206594556,27936084916070
3v_zttv9ZJ,sMyjxvZ7Rc,Y0yQuNaOfs,723982033,1178721159,1670057640,27936085327443
q6P6DVtQxV,jYoCrJKJIR,whAVkmpdZb,695431992,715604807,1128084610,27936085760589
nRdViiCMJr,YDZnMm24hg,s3DSV_FUiu,1047007438,1937366690,531053399,27936086161205
dSUc4kMbtc,PJDLZ_mxpV,Xx5x0ucV0x,1750341542,1105761698,1202293549,27936086554904
OOcZM_HxEq,oIutwzCOS9,s3mzdCyCun,858173363,1539461221,1690602526,27936086959873
_1AmHV8NFo,GCqdq7Udqk,n9W9Bxh4k9,631045378,1995647080,1193228719,27936103710147
CBzsPlVYdq,2VKXSF8sTy,2pvNEZ5Aod,613238191,1053772419,93170173,27936104101284
Ti8t7XHOHH,EZb959G6dX,QeJOpmejlT,872305424,318112102,1626442582,27936104505230
I9XSkcWlLR,zEDhht7c8h,elp353BY10,881482861,1806988557,2005277728,27936105035968
gnET6nSMe2,nsfydxmuow,tdmMzdT1Jb,1908675258,311958985,1917323181,27936105577464
8tznJt5WUu,wMBj8BBNMD,mDBuDp1NBc,879451091,1264780239,1441039936,27936106269319
10K1R8BhwQ,YUgGs13XO2,xc6JXDrK57,163729847,1140974445,493492599,27936107027005
sQzNt0kaQU,yF6Oq0AQoE,VJ0WUBptkr,1413878927,1003915334,2136005941,27936107782128
FsyQ4z8z1u,fQ4iUNA3Yw,sQw5IC0HIb,1856763371,545037320,161810759,27936108249086
EP3vEabB82,K6N99tS3St,Qb4pNo1nS4,62922156,1171785389,111936933,27936108682488
FmjndvP1Ne,GPavi329fp,JmaqfrA7Jv,1609479159,409776216,1330330180,27936109088482
cYBkBCngb3,G_pJnlks5h,JSxUL_b_wG,1900273878,492732638,1258819415,27936109491659
W5uzUnv4GJ,Y0mj9KZ143,53MEGBoKv2,1260344220,1775493483,737918300,27936109871526
1ShL7rwHCj,QL9T6YyCLH,kKiR1Wn_yM,684232186,1564256753,214312186,27936110263176
o3nKjgOYxu,8NWJInO_sR,QRVWXChPbU,541817928,1581122630,835790580,27936110667121
KEJ1ZFwhs9,RvSpr8hHhN,JMl57qX5tO,2025096919,1445075135,1164208988,27936111047244
8FyUSzvCzr,PBbmzYi9oT,33v6XrQvan,61871434,131272427,828873205,27936111447603
40lH91fxmP,z7mShs36YC,MoAnJ561P1,495620054,266014548,526539550,27936111827471
ySzh8Z7B1w,l48HPz2gD7,I01v4sLCxx,2131313768,1987760426,315580036,27936112215791
9_C7ax0fWr,U5cL0I9ACY,4oFasmaxhE,781619264,1086517476,439660765,27936112592328
KUqIKnrFxz,flfDQ43sbI,ZuRFAuHTVW,752177089,1798007705,877564158,27936132495268
LhEGzw_J9C,e7DARsYZ_G,4SpfrSZWb2,263869500,1355963102,1393704254,27936132892810
V1C2HvfknS,GRxjOPHNZE,zJmHLxbYJR,1136682646,670557726,930991279,27936133360792
EDaKXottfM,Tfcq9aug7G,eh9UOwWWoW,531066590,139125298,1084800696,27936133741171
bs5cvJCfAb,h8HY5ycM7_,E4LTQsqrno,79721130,10137280,1748376543,27936134112842
Pzqk7AltQ2,xmaZbyrkvc,dEnoEFDVKr,2028388307,1834722455,1541063845,27936134500393
S1ECOH1tdy,WViVEKl2xL,eoG5Zu_R9r,1989079227,1526758542,826136263,27936134874369
vt1hdCcvje,Ma5CFqH6q0,KlhGBrF3Dl,20638745,1477821619,1127861717,27936135247064
QeJuVtmj77,B2JxbPSYJa,WjGVgCh1MH,803281390,771569973,1901089168,27936135614636
V5DBPrzILf,w1NoEpIitb,BttnNAOGOU,432258668,41615967,203345733,27936136033438
krh8ARMeoi,P9bD01p2sQ,YhWXpB6ZQy,128661518,1891337835,95315381,27936136447885
iey9wlWLyx,Rhr8u8ET4b,LQDuO9SGKa,747887195,651491316,898117861,27936136819812
3iQw5aKvbB,BPRTY1XQg7,FHIaM45PhV,40439470,691718565,314504126,27936137356698
0gHs1zxS17,34eMIkWKuE,5q5rMw47G2,526590817,467536239,955991044,27936137789587
UFu__pvSuj,WaYQwECqZ5,jAo_Qkywu4,641196514,511797176,1545147054,27936138221965
qy6u0K6i8N,C0sKrIpV0u,yMsyxAhEeM,765637164,1971740617,1015482186,27936138649476
roQd7eCtoR,FWlKRdxHji,Cf2QKb6Sff,1929313351,862853526,1448331760,27936139026781
V4CY54ldJx,PQnGuM2Ndh,WTlOSQGMir,1514678313,5881102,1630405344,27936139455317
2TJeC1oWyF,48t0sVJJsw,ya8RP0CeDi,1847172593,436892253,1348753858,27936139833903
7z2otrOueH,wKHMd7hxnr,ahuX4XkoSH,1605289293,1407279440,1390769864,27936140205061
aoY6lIDTXg,fTMI5GBldm,i340r96Drq,314148806,504661327,899398556,27936154254256
wURUZZwpwS,aKwSEccPRY,gSULI3l8ew,969864895,1834677399,1527707030,27936154634635
CgU2CuY3qe,mmTE78qmdX,u2Wnw4dnFM,634120808,66863732,18517036,27936155012966
QR_DhqBoJS,qtMOrbCnQQ,iwzYU5uzqF,1475834593,202507345,1689582293,27936155421009
HakxyQQprE,DXGJAXp54B,EqG4cd2V8m,1047325818,52270768,1526045044,27936155850569
VEvufHltlP,CGfwiqegOp,GNxo2RIyN5,809959182,1173184901,576999408,27936156226850
OzkaTbXR6m,WmDPG6VtPx,jvH81AlYBE,1883263708,66047233,573113938,27936156654617
g_ZgKSEFgW,4wvM9TISxq,ekVSFiD2QD,749965192,1060323600,1779147910,27936157255540
Kw9rMyEWhT,ps13pdgh9B,YVeFu_aURc,2140888474,1281762715,846467773,27936157823676
hF2jKojzvj,kiQNBYEewI,NKX0WAt__h,1855087744,1389814436,1550465225,27936158220192
wtnt5Qdj_1,50_I8tkTnx,PayPnhWFjp,1792232621,1282662475,1905655520,27936158655131
CKtuZB8Rjt,iE1Iyd75Zr,WqQubdSG2Q,1362673142,97224299,1868322282,27936159037560
_9WlJWI1U0,LtntsBpM6N,BOPDCuM7uh,2082918769,1988285856,1848458762,27936159417171
iHhQzMi7c0,Km3OWbZmZ6,DJ7Z0WTsWu,135055283,1805122879,109467947,27936159791915
E05QLYWn23,quKsc7FqWI,m71o9cj6tm,2022094229,1136370020,1674956612,27936160164098
zqKsfZLvFe,NxIwVT0lli,sJH36eG920,5473078,65432106,455723095,27936160599293
kVLxjuR0au,EKKoctacJR,szK1bRYOf0,919738494,1420885859,724593784,27936160979416
7VuEsm9kiA,AN5RHd2QHE,MUcm0Nwspz,402742616,39061887,2084037478,27936161401548
om6yCqOu8c,UvXrV8P2jV,cw4nG0wvq1,2072623980,575447474,1065779783,27936161782696
RJVLuqEVzG,Nl7ZIFtBNj,fC4u5rxbTA,404965552,260610314,2088265731,27936162154623
COvUIvHqJY,i7oLFmBh9b,kbuoiDkuo7,1462735071,1449492743,563027106,27936181415401
Nw262oBM21,GxMYmXLhaP,049t1UplDK,347995053,512560593,274035387,27936182082922
Nv_SeRV4Bh,q1eLv9y_xl,JPAtU2lHAq,1948082515,374409315,1424883991,27936182754541
IePRNHi1Hh,OaktO_qeg2,RMSpebU2v5,1927391714,938940670,2028203955,27936183462021
WlPzQw7pI4,x5k92yCYen,29omT727MQ,1732164965,1969547056,56780412,27936184158487
GQqfPA277a,_ay_cfX577,83Tyq51XN2,1596661462,941628273,2129520741,27936184860588
gtHATGMwsH,hqgbgfU_bT,vsi7XjP7dT,2029843622,682235978,1906633457,27936185605979
z8UaxEBkth,xlgkKGMwwE,1S9JijcM7c,1211856558,1192190170,2040686126,27936186333695
7SRBflzuyK,oT16uBh02J,eiDd_6XiCq,1520198599,1537089635,372964786,27936186794248
huzkWxQk9X,zgEVjFjhAG,AHW6tdFK8Z,339385441,800179954,1858171811,27936187190509
VoIsAirGbK,z0C2zmJiKS,O09RByNxhs,1202374818,604159127,1862774807,27936187590612
KHQVjPR2St,BLItI2A0C2,LQUh71Xh8V,1528926360,1407805775,327129819,27936187967918
cgofm6Cy4J,jZ8lHbhTpZ,yspSC0K8XO,185764554,8051539,2047704319,27936188412078
sdmxmDlPTo,BSGfe32LDg,6xv1u1RbAP,301352997,1264102830,880343101,27936188798093
GJ7ojsOqT8,D5EkhT81Lx,_u8TMhGBn7,429822907,1396502328,183343356,27936189172324
OGG6R6ilwj,yEoCdGpXkg,5b4aMiu7mz,1320441171,1912227785,1102284556,27936189577038
MWVKuMLJzu,W6lfCIti7x,7lLQNGQ4Ym,1504240834,1960539901,1493610055,27936189952038
CtcR8X22z4,JPl7SZ1MCQ,eiQmGOmtXl,1693579343,1862612751,287676618,27936190336516
Jm91aJqdCa,8zfNEtjaSy,uOV8DF92cC,965732924,1468070895,1443605815,27936190709211
TOHBvDrwVN,VbsvRsript,Io3u1_1CWG,15906498,330630025,1708838055,27936191133392
laBbUMmgX3,FrfLq6da7I,wCzVwNC2zH,1008210311,513716266,48105060,27936211136742
3Q31oc3Ay2,gXtvkAqfBd,EV7aknVTbu,325084402,930043408,99966927,27936212025831
q5ESCg8sll,mtUToVS9BW,MBtWHpKu1R,479023780,1678566895,1221270920,27936212510719
SGtQAykKqM,3ahNjr1Ar6,wDRAaF1Wv6,1363567102,1476637615,795407803,27936212892380
zv5iP12os6,qnmVczkwXG,IXK19hLULo,1810192795,1778887295,740052975,27936213266355
YeQ_lmkwk8,qunjOfWX4V,u3qMZzE6s9,2118843414,925151772,110141591,27936213640843
6UtCSSor4M,AvJ4QaWiPm,j4y_wCllV8,738620783,185436841,1584729958,27936214012514
DgPmurlSh5,9SWWrqIUUR,GtAcJE4To_,748700906,900513860,1966197429,27936214430547
3JYJHiUhAI,mxpAAlxHtK,YrdKv2JCti,1559024245,1955824111,823556646,27936214808109
tPyC2GYZPH,23OkNG4JRD,MvDrOCbZKj,995426487,255063937,369050192,27936215182085
IiWBeZ35kp,6vT8VQrThR,uRGVdUJIm3,1260874894,1635310320,289034481,27936215551450
VXj2ePGvVm,HCoteHFTAB,pdZsUXJkaA,1230561704,1879226145,44305928,27936215935928
XAQtqUjhJB,z186XdSsMt,pBqpZUlzFi,1793108578,1619037051,1677334505,27936216305549
ujaV5kc4We,qHpx6HHvhF,14swG3fY25,1923848441,1813259212,788106068,27936216673121
KfIAvH5y4t,GrhAQ4ElVi,fST94PTHXP,1693111553,1342072933,359977042,27936217110365
95aHR6_P8V,9NbmBDZp1v,4r2sJCpfll,460293916,1981825318,1623185502,27936217655192
6El34cfAzI,QSlVRVbsRZ,bPBPQIoflJ,919593158,1567720039,655419331,27936218318615
bBAQKtynRZ,It9KG9vHkt,DMBZQreVni,89351149,2079571770,1357923549,27936218933113
SOmOHLOVBU,sL_egbGprP,jZkoWW_OTd,930720833,2071518529,673004593,27936219549405
rzj2ko46SK,IutWGgYu7S,6DMrhQxcW5,1584694504,161252056,1375364795,27936220160061
xNQp0Ry81a,y02dvaQ2N9,tUV6IW5jO2,714085041,413582789,1943882518,27936243482575
Ox9XpORNuG,vUvQirclZP,wDHQjCI1Fa,357309398,780545115,725391629,27936244161366
_OYNaSHDxr,D0tBntDA9H,pbM1PAxgR6,1220283446,426413963,1456963347,27936244839134
WPiFn7FlWq,QD5Ittjwel,1Y0j9vqGct,1601932275,1513838494,465495422,27936245541235
RIXMCTO27l,XiwFHpnm1P,PfNqUgrGvG,63324939,1216343112,195277764,27936246197742
0xxQ0WEd9F,Kv5fvXVNYt,Qe20v9PznN,1870125461,308262372,618058363,27936246882425
Nht58i_QPA,0VZxJxWUn_,H2cD3EYznD,1812723553,1017257046,1380526394,27936247604505
0SZf9lMfA2,ogzVxnohh5,AAgVlCuMUF,1386103962,581863307,1804312599,27936248317621
L97zHOpdyF,Dlb3wobWvP,eNJr0bb7f9,199911716,1988910969,885989159,27936249002816
ARHMWIsUtW,j7dSzgbjDr,1rCJiP2sEW,273419548,1088621628,1592036962,27936249725153
Hp9xrKSOYZ,v5G0r_m1md,Obuiifv_Hw,675546955,1626994138,1818891334,27936250414447
InFIA8GEuU,e0q5RqMoB9,sDJwXTKMwZ,1932461644,1629394295,922663323,27936251096568
TM3yK5RE_g,aGT6VkPMZ1,8b7YU3hakM,1652525729,1031026509,365470233,27936251763065
15RntxOinI,qSKaZkP87p,EpEfLnuGMR,670075447,1486262414,167293763,27936252461836
0xQRtJDJIJ,zZLJBcvEKu,GIjjn82JrN,890252395,1750829401,1518670367,27936253126027
Yc4Ug9MR7X,L1WhZbk31o,sPqSnpuOYq,1761936517,562758232,575330323,27936253840167
BJlqeN3zX9,dZGspLtDQv,1y7u_3Rayi,2108069835,377118322,1261188375,27936254535865
eEq85HROIu,FwEvvF_Aqu,HGfHlcnIuR,56754063,624670992,2092093636,27936254945445
_JmzFFgz9d,HOdMNq3UAe,P6Z7I7mmvT,1704305612,1142635036,1711821682,27936255329155
9gwOg_73hi,epAwejbtMO,EpNzTOO07g,574614663,184879493,1039557880,27936255735917
RudOV5pWFF,0Awl5aFruu,5QnSJeTF9J,535134964,320315366,1987130986,27936271931374
9aiQYHZk3l,TzaabfsdHa,ygRVfx6Hjo,821731720,1842364840,1347872824,27936272597103
_fATdr2_CX,VnbwMn_zfx,wsQWkJc6Rz,1368642420,1979830167,505703524,27936273261294
WtQQsiTqGB,qYRmaV8EYC,nudne1OKpV,982384762,1083371892,2113268524,27936273944696
R5bafkgWKc,udZv78lIGf,RBLEYnixIC,1097207962,2114604959,1871154246,27936274676767
CIc7SM_jor,XXMuI4rfj0,Ve70bFRrCk,1480125391,2056163771,1412790263,27936275362987
fxRvmXT5qN,mXUFwHzUSb,U0KAlApt8f,230914642,501637097,1861998142,27936276042034
8_wTtj5uKv,5Vv6uLyulU,oG7rxFJFh3,224568279,1803051598,1685507786,27936276761810
